Mes,Ano,lat,lon,Codigo,regiao,uf,Umidade média mensal,Temperatura média mensal
2,2022,-10.207777770000005,-37.431944430000016,A453,NE,SE,51.6,31.16333333333334
9,2022,-10.207777770000005,-37.431944429999966,A453,NE,SE,84.29629629629629,21.471604938271604
11,2022,-10.207777769999929,-37.43194443000034,A453,NE,SE,73.54787234042553,26.10656028368795
12,2022,-10.207777769999865,-37.431944430000684,A453,NE,SE,76.80510752688173,25.73346774193547
1,2022,-26.77638888000001,-53.50416666000035,A857,S,SC,62.844086021505376,25.533198924731185
2,2022,-26.776388880000006,-53.504166660000294,A857,S,SC,59.955357142857146,24.73898809523812
3,2022,-26.77638888000001,-53.50416666000035,A857,S,SC,77.94189189189188,21.61229729729731
4,2022,-26.77638888000001,-53.50416666000034,A857,S,SC,78.4125,19.31472222222222
5,2022,-26.77638888000001,-53.50416666000035,A857,S,SC,83.61290322580645,14.671102150537655
6,2022,-26.77638888000001,-53.50416666000034,A857,S,SC,83.74305555555556,14.049722222222217
7,2022,-26.77638888000001,-53.50416666000035,A857,S,SC,66.68279569892474,18.465456989247308
8,2022,-26.77638888000001,-53.50416666000035,A857,S,SC,72.43876177658143,15.469717362045763
9,2022,-26.77638888000001,-53.504166660000074,A857,S,SC,73.91295546558705,16.282591093117414
10,2022,-26.77638888000001,-53.504166659999925,A857,S,SC,71.99526066350711,19.698104265402844
11,2022,-26.77638888000001,-53.504166659999925,A857,S,SC,54.430952380952384,21.809999999999988
12,2022,-26.77638888000001,-53.504166660000145,A857,S,SC,62.944547134935306,24.385951940850294
1,2022,-15.244722209999965,-40.2294444299995,A446,NE,BA,73.92857142857143,25.559838274932616
2,2022,-15.244722209999967,-40.229444429999596,A446,NE,BA,72.7593984962406,26.403759398496213
3,2022,-15.244722209999965,-40.2294444299995,A446,NE,BA,79.67929634641408,25.011907983761834
4,2022,-15.244722209999965,-40.22944442999953,A446,NE,BA,75.25034965034965,25.148811188811177
5,2022,-15.244722209999965,-40.22944442999951,A446,NE,BA,75.39077340569878,23.12184531886024
6,2022,-15.244722209999965,-40.229444429999546,A446,NE,BA,72.8340425531915,21.595460992907803
7,2022,-15.244722209999965,-40.22944442999952,A446,NE,BA,80.85499316005472,21.364158686730523
8,2022,-15.244722209999965,-40.22944442999951,A446,NE,BA,73.35109289617486,21.813251366120227
9,2022,-15.244722209999967,-40.2294444299997,A446,NE,BA,70.9090909090909,23.067340067340044
10,2022,-15.244722209999967,-40.229444430000086,A446,NE,BA,58.54186046511628,26.839069767441842
